league_id,league_name,season_id,season,game_id,gamedate,team_id,team_name,goals,penalty,result
9,Premier League,333,2016-2017,76057,2017-03-18 15:00:00.000,2275,Watford,0,NULL,0
9,Premier League,333,2016-2017,76057,2017-03-18 15:00:00.000,2139,Crystal Palace,1,NULL,1
9,Premier League,333,2016-2017,76058,2017-03-18 15:00:00.000,2138,Hull City,0,NULL,0
9,Premier League,333,2016-2017,76058,2017-03-18 15:00:00.000,568,Everton,4,NULL,1
9,Premier League,333,2016-2017,76059,2017-03-19 16:30:00.000,565,Liverpool,1,NULL,2
9,Premier League,333,2016-2017,76059,2017-03-19 16:30:00.000,573,Manchester City,1,NULL,2
9,Premier League,333,2016-2017,76060,2017-03-18 15:00:00.000,580,Chelsea,2,NULL,1
9,Premier League,333,2016-2017,76060,2017-03-18 15:00:00.000,578,Stoke,1,NULL,0
9,Premier League,333,2016-2017,76061,2017-03-18 15:00:00.000,2199,Burnley,0,NULL,2
9,Premier League,333,2016-2017,76061,2017-03-18 15:00:00.000,575,Sunderland,0,NULL,2
9,Premier League,333,2016-2017,76062,2017-03-19 14:15:00.000,2108,Southampton,1,NULL,0
9,Premier League,333,2016-2017,76062,2017-03-19 14:15:00.000,564,Tottenham,2,NULL,1
9,Premier League,333,2016-2017,76063,2017-03-18 12:30:00.000,569,Arsenal,1,NULL,0
9,Premier League,333,2016-2017,76063,2017-03-18 12:30:00.000,665,West Bromwich,3,NULL,1
9,Premier League,333,2016-2017,76064,2017-03-18 15:00:00.000,2198,Leicester City,3,NULL,1
9,Premier League,333,2016-2017,76064,2017-03-18 15:00:00.000,571,West Ham United,2,NULL,0
9,Premier League,333,2016-2017,76065,2017-04-02 16:00:00.000,573,Manchester City,2,NULL,2
9,Premier League,333,2016-2017,76065,2017-04-02 16:00:00.000,569,Arsenal,2,NULL,2
9,Premier League,333,2016-2017,76066,2017-04-01 15:00:00.000,564,Tottenham,2,NULL,1
9,Premier League,333,2016-2017,76066,2017-04-01 15:00:00.000,2199,Burnley,0,NULL,0
9,Premier League,333,2016-2017,76067,2017-04-01 15:00:00.000,2139,Crystal Palace,2,NULL,1
9,Premier League,333,2016-2017,76067,2017-04-01 15:00:00.000,580,Chelsea,1,NULL,0
9,Premier League,333,2016-2017,76068,2017-04-01 15:00:00.000,571,West Ham United,1,NULL,0
9,Premier League,333,2016-2017,76068,2017-04-01 15:00:00.000,2138,Hull City,2,NULL,1
9,Premier League,333,2016-2017,76069,2017-04-01 15:00:00.000,578,Stoke,0,NULL,0
9,Premier League,333,2016-2017,76069,2017-04-01 15:00:00.000,2198,Leicester City,2,NULL,1
9,Premier League,333,2016-2017,76070,2017-04-01 12:30:00.000,568,Everton,1,NULL,0
9,Premier League,333,2016-2017,76070,2017-04-01 12:30:00.000,565,Liverpool,3,NULL,1
9,Premier League,333,2016-2017,76071,2017-04-01 15:00:00.000,665,West Bromwich,0,NULL,2
9,Premier League,333,2016-2017,76071,2017-04-01 15:00:00.000,562,Manchester United,0,NULL,2
9,Premier League,333,2016-2017,76072,2017-04-01 17:30:00.000,2276,AFC Bournemouth,0,NULL,2
9,Premier League,333,2016-2017,76072,2017-04-01 17:30:00.000,2108,Southampton,0,NULL,2
9,Premier League,333,2016-2017,76073,2017-04-02 13:30:00.000,2294,Middlesbrough,0,NULL,2
9,Premier League,333,2016-2017,76073,2017-04-02 13:30:00.000,675,Swansea,0,NULL,2
9,Premier League,333,2016-2017,76074,2017-04-01 15:00:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,76074,2017-04-01 15:00:00.000,2275,Watford,1,NULL,1
9,Premier League,333,2016-2017,76075,2017-04-05 19:45:00.000,571,West Ham United,0,NULL,0
9,Premier League,333,2016-2017,76075,2017-04-05 19:45:00.000,569,Arsenal,3,NULL,1
9,Premier League,333,2016-2017,76076,2017-04-04 19:45:00.000,578,Stoke,0,NULL,0
9,Premier League,333,2016-2017,76076,2017-04-04 19:45:00.000,2199,Burnley,1,NULL,1
9,Premier League,333,2016-2017,76077,2017-04-05 19:45:00.000,2294,Middlesbrough,2,NULL,0
9,Premier League,333,2016-2017,76077,2017-04-05 19:45:00.000,2138,Hull City,4,NULL,1
9,Premier League,333,2016-2017,76078,2017-04-04 19:45:00.000,575,Sunderland,0,NULL,0
9,Premier League,333,2016-2017,76078,2017-04-04 19:45:00.000,2198,Leicester City,2,NULL,1
9,Premier League,333,2016-2017,76079,2017-04-05 19:45:00.000,564,Tottenham,3,NULL,1
9,Premier League,333,2016-2017,76079,2017-04-05 19:45:00.000,675,Swansea,1,NULL,0
9,Premier League,333,2016-2017,76080,2017-04-04 19:45:00.000,665,West Bromwich,0,NULL,0
9,Premier League,333,2016-2017,76080,2017-04-04 19:45:00.000,2275,Watford,2,NULL,1
9,Premier League,333,2016-2017,76081,2017-04-04 20:00:00.000,568,Everton,1,NULL,2
9,Premier League,333,2016-2017,76081,2017-04-04 20:00:00.000,562,Manchester United,1,NULL,2
9,Premier League,333,2016-2017,76082,2017-04-05 20:00:00.000,573,Manchester City,1,NULL,0
9,Premier League,333,2016-2017,76082,2017-04-05 20:00:00.000,580,Chelsea,2,NULL,1
9,Premier League,333,2016-2017,76083,2017-04-05 19:45:00.000,2139,Crystal Palace,1,NULL,0
9,Premier League,333,2016-2017,76083,2017-04-05 19:45:00.000,2108,Southampton,3,NULL,1
9,Premier League,333,2016-2017,76084,2017-04-05 20:00:00.000,2276,AFC Bournemouth,2,NULL,2
9,Premier League,333,2016-2017,76084,2017-04-05 20:00:00.000,565,Liverpool,2,NULL,2
9,Premier League,333,2016-2017,76085,2017-04-08 17:30:00.000,580,Chelsea,3,NULL,1
9,Premier League,333,2016-2017,76085,2017-04-08 17:30:00.000,2276,AFC Bournemouth,1,NULL,0
9,Premier League,333,2016-2017,76086,2017-04-10 20:00:00.000,569,Arsenal,0,NULL,0
9,Premier League,333,2016-2017,76086,2017-04-10 20:00:00.000,2139,Crystal Palace,3,NULL,1
9,Premier League,333,2016-2017,76087,2017-04-09 16:00:00.000,2198,Leicester City,2,NULL,0
9,Premier League,333,2016-2017,76087,2017-04-09 16:00:00.000,568,Everton,4,NULL,1
9,Premier League,333,2016-2017,76088,2017-04-08 15:00:00.000,2138,Hull City,1,NULL,0
9,Premier League,333,2016-2017,76088,2017-04-08 15:00:00.000,573,Manchester City,3,NULL,1
9,Premier League,333,2016-2017,76089,2017-04-08 15:00:00.000,565,Liverpool,2,NULL,1
9,Premier League,333,2016-2017,76089,2017-04-08 15:00:00.000,578,Stoke,1,NULL,0
9,Premier League,333,2016-2017,76090,2017-04-09 13:30:00.000,562,Manchester United,3,NULL,1
9,Premier League,333,2016-2017,76090,2017-04-09 13:30:00.000,575,Sunderland,0,NULL,0
